Player_Name,Position,Player_ID,Year,Country_Name,Nationality,Age,Height,Total_Points,Average_by_Match,Attack_Points,Efficiency,Attack_Avg_Points,Block_Points,Block_Success,Block_Avg_Points,Serve_Points,Serve_Success,Serve_Avg_Points
Van Sas Elise,S,160209,2021,Belgium,Belgium,24,188,4,0.33,0,0.00%,0,3,60.00%,0.25,1,7.69%,0.08
Herbots Britt,OH,152042,2021,Belgium,Belgium,22,182,337,24.07,314,40.67%,22.43,12,12.63%,0.86,11,5.85%,0.79
Lemmens Nathalie,MB,135880,2021,Belgium,Belgium,27,192,15,1.07,8,30.77%,0.57,6,12.24%,0.43,1,1.75%,0.07
Guilliams Jodie,OH,156326,2021,Belgium,Belgium,24,180,86,5.73,73,27.97%,4.87,7,10.00%,0.47,6,3.95%,0.4
Gilson Helena,OH,181274,2021,Belgium,Belgium,22,184,9,0.69,9,16.36%,0.69,0,0.00%,0,0,0.00%,0
Van Gestel Celine,OH,151117,2021,Belgium,Belgium,24,183,158,10.53,131,32.11%,8.73,9,9.47%,0.6,18,8.45%,1.2
Demeyer Nel,OH,181275,2021,Belgium,Belgium,21,175,0,0,0,-,-,0,-,-,0,0.00%,0
Sobolska-Tarasova Dominika,MB,119429,2021,Belgium,Poland,30,187,36,2.4,19,28.79%,1.27,15,18.75%,1,2,4.08%,0.13
De Tant Amber,L,152039,2021,Belgium,Belgium,24,178,0,0,0,-,-,0,-,-,0,-,-
Janssens Marlies,MB,156325,2021,Belgium,Belgium,24,193,158,11.29,95,48.72%,6.79,40,30.53%,2.86,23,12.64%,1.64
De Valkeneer Lise,OH,119420,2021,Belgium,Belgium,32,177,8,1.14,6,26.09%,0.86,2,22.22%,0.29,0,0.00%,0
Van De Vyver Jutta,S,160208,2021,Belgium,Belgium,25,173,0,0,0,0.00%,0,0,-,-,0,0.00%,0
Van De Vyver Ilka,S,119537,2021,Belgium,Belgium,29,180,19,1.27,3,12.50%,0.2,4,4.65%,0.27,12,5.50%,0.8
Rampelberg Britt,L,168160,2021,Belgium,Belgium,21,165,0,0,0,-,-,0,-,-,0,-,-
Van Avermaet Silke,MB,152040,2021,Belgium,Belgium,22,192,116,7.73,86,44.33%,5.73,20,21.05%,1.33,10,6.94%,0.67
Stragier Manon,OH,152057,2021,Belgium,Belgium,23,182,3,0.2,1,8.33%,0.07,0,0.00%,0,2,4.55%,0.13
Gert Vande Broek,COACH,N/A,2021,Belgium,,,,,,,,,,,,,,
De Oliveira Saad Gattaz Caroline,MB,113245,2021,Brazil,Brazil,40,192,105,7,78,55.32%,5.2,21,16.67%,1.4,6,4.55%,0.4
